time,3m_treasury,ust3_dreturn,btc_alloc%,eth_alloc%,ust3_alloc%,btc_alloc_usd,eth_alloc_usd,ust3_alloc_usd,portfolio_return,portfolio_volatility,daily_sharpe,btcusd_dreturn,ethusd_dreturn,100_eth_portfolio_balance
2020-09-30,0.11,2.241832101712582e-05,0,1,0,0,1000000,0,0.008890174998608913,,,0.015506709110430394,0.014097316456909814,1000000
2020-10-01,0.1,2.241906552669093e-05,0,1,0,0,1000481,0,0.0004810313372343167,,,-0.00614857089395493,0.0004810313372343167,1000481
2020-10-02,0.1,2.241906552669093e-05,0,1,0,0,982671,0,-0.01780076386233964,,,-0.01326774280517451,-0.01780076386233964,982671
2020-10-03,0.1,2.241906552669093e-05,0,1,0,0,962401,0,-0.0206266259793475,,,-0.005203363332700772,-0.0206266259793475,962401
2020-10-04,0.1,2.241906552669093e-05,0,1,0,0,962623,0,0.00023096866911864744,,,-0.0024609276287838044,0.00023096866911864744,962623
2020-10-05,0.1,2.241906552669093e-05,0,1,0,0,980613,0,0.01868926060079157,,,0.01176150553803379,0.01868926060079157,980613
2020-10-06,0.1,2.241906552669093e-05,0,1,0,0,983800,0,0.0032503679459991996,,,0.010706756170835385,0.0032503679459991996,983800
2020-10-07,0.1,2.241906552669093e-05,0,1,0,0,947663,0,-0.036731456098759385,,,-0.016596425731634667,-0.036731456098759385,947663
2020-10-08,0.1,2.241906552669093e-05,0,1,0,0,949966,0,0.002430228211421692,,,0.005850788840734422,0.002430228211421692,949966
2020-10-09,0.1,2.241906552669093e-05,0,1,0,0,973925,0,0.02522195505868985,0.05913509408081715,0.4261350452698044,0.020683849671283117,0.02522195505868985,973925
2020-10-10,0.1,2.241906552669093e-05,0,1,0,0,1016447,0,0.04366096388182594,0.07427149404996798,0.5875544227902612,0.016033720811665653,0.04366096388182594,1016447
2020-10-11,0.1,2.241906552669093e-05,0,1,0,0,1030726,0,0.014048212496113432,0.0752205253985179,0.18646231671845112,0.02018299393243317,0.014048212496113432,1030726
2020-10-12,0.1,2.241906552669093e-05,0,1,0,0,1041924,0,0.010865075290259485,0.0716916534157343,0.15124014732729174,0.008086882162986475,0.010865075290259485,1041924
2020-10-13,0.1,2.241906552669093e-05,0,1,0,0,1077420,0,0.03406847785113665,0.06987342171232043,0.48725334971833484,0.014534327180206974,0.03406847785113665,1077420
2020-10-14,0.1,2.241906552669093e-05,0,1,0,0,1060485,0,-0.015717745882021905,0.07442211046181733,-0.21149850292977343,-0.010142627803337856,-0.015717745882021905,1060485
2020-10-15,0.1,2.241906552669093e-05,0,1,0,0,1055036,0,-0.005138196704733811,0.07513432036530991,-0.06868519932261472,0.0008285319370324729,-0.005138196704733811,1055036
2020-10-16,0.1,2.241906552669093e-05,0,1,0,0,1049328,0,-0.005410119219875664,0.07618267544383969,-0.0713093659910528,0.005247884046185147,-0.005410119219875664,1049328
2020-10-17,0.1,2.241906552669093e-05,0,1,0,0,1018256,0,-0.029610981413961235,0.07188047480109294,-0.41225938701002224,-0.015352607990090084,-0.029610981413961235,1018256
2020-10-18,0.1,2.241906552669093e-05,0,1,0,0,1025656,0,0.0072674753737516085,0.07166819501723307,0.10109165308939061,0.004127214574262794,0.0072674753737516085,1025656
2020-10-19,0.1,2.241906552669093e-05,0,1,0,0,1051805,0,0.02549541019382784,0.07174200738906965,0.35506381902804296,0.011445360901036317,0.02549541019382784,1051805
2020-10-20,0.1,2.241906552669093e-05,0,1,0,0,1056228,0,0.0042060962251813105,0.059772947592986986,0.06999281996502177,0.022290285125287745,0.0042060962251813105,1056228
2020-10-21,0.1,2.241906552669093e-05,0,1,0,0,1024476,0,-0.030061318115104596,0.0673367713435342,-0.4467653643081891,0.013321996494727761,-0.030061318115104596,1024476
2020-10-22,0.1,2.241906552669093e-05,0,1,0,0,1088298,0,0.0622977865710963,0.09201910048050614,0.6767656625676578,0.07538405794171199,0.0622977865710963,1088298
