time,3m_treasury,ust3_dreturn,btc_alloc%,eth_alloc%,ust3_alloc%,btc_alloc_usd,eth_alloc_usd,ust3_alloc_usd,portfolio_return,portfolio_volatility,daily_sharpe,btcusd_dreturn,ethusd_dreturn,100_btc_portfolio_balance
2022-03-14,0.44,2.239375208756833e-05,0.3,0.3,0.4,1000000,0,0,-0.015187446503255254,,,-0.027019758564723162,-0.023634921448911106,1000000
2022-03-15,0.44,2.239375208756833e-05,1.0,0.0,0.0,1047999,0,0,0.04799940464131991,,,0.04799940464131991,0.02900512337198169,1047999
2022-03-16,0.44,2.239375208756833e-05,1.0,0.0,0.0,1039080,0,0,-0.008509759884836487,,,-0.008509759884836487,0.01112149099118076,1039080
2022-03-17,0.44,2.239375208756833e-05,1.0,0.0,0.0,1087525,0,0,0.046623504414322836,,,0.046623504414322836,0.05777655829420736,1087525
2022-03-18,0.44,2.239375208756833e-05,1.0,0.0,0.0,1083194,0,0,-0.003982095336052871,,,-0.003982095336052871,0.0164666589499205,1083194
2022-03-19,0.44,2.239375208756833e-05,1.0,0.0,0.0,1105271,0,0,0.0203821637818713,,,0.0203821637818713,0.04555433600129688,1105271
2022-03-20,0.44,2.239375208756833e-05,1.0,0.0,0.0,1114901,0,0,0.008712937903458728,,,0.008712937903458728,0.0005025036384493919,1114901
2022-03-21,0.44,2.239375208756833e-05,1.0,0.0,0.0,1090631,0,0,-0.021768689339140668,,,-0.021768689339140668,-0.02937819925374896,1090631
2022-03-22,0.44,2.239375208756833e-05,1.0,0.0,0.0,1084780,0,0,-0.005363992876390222,,,-0.005363992876390222,0.012565351421502058,1084780
2022-03-23,0.44,2.239375208756833e-05,1.0,0.0,0.0,1120182,0,0,0.03263566587273825,0.08044761533620974,0.40539762408558727,0.03263566587273825,0.02527044861210226,1120182
2022-03-24,0.44,2.239375208756833e-05,1.0,0.0,0.0,1130756,0,0,0.00943965138917302,0.07544166681633915,0.12482833471868443,0.00943965138917302,0.019883686656580357,1130756
2022-03-25,0.44,2.239375208756833e-05,1.0,0.0,0.0,1160712,0,0,0.026492627113029465,0.0668053532638231,0.3962292251701368,0.026492627113029465,0.02569362783138973,1160712
