time,3m_treasury,ust3_dreturn,btc_alloc%,eth_alloc%,ust3_alloc%,btc_alloc_usd,eth_alloc_usd,ust3_alloc_usd,portfolio_return,portfolio_volatility,daily_sharpe,btcusd_dreturn,ethusd_dreturn,portfolio_balance_60_40
2020-09-30,0.11,2.241832101712582e-05,0.3,0.3,0.4,300000,300000,400000,0.008890174998608913,,,0.015506709110430394,0.014097316456909814,1000000
2020-10-01,0.1,2.241906552669093e-05,0.2986606324507391,0.3006530055383765,0.4006863620108844,298155,300144,400008,-0.0016912942408055076,,,-0.00614857089395493,0.0004810313372343167,998307
2020-10-02,0.1,2.241906552669093e-05,0.29746637061483333,0.29807505641971416,0.4044585729654525,294199,294801,400016,-0.009305422599672921,,,-0.01326774280517451,-0.01780076386233964,989016
2020-10-03,0.1,2.241906552669093e-05,0.29821114883453637,0.29418837348636456,0.40760047767909907,292668,288720,400024,-0.007687040724861007,,,-0.005203363332700772,-0.0206266259793475,981412
2020-10-04,0.1,2.241906552669093e-05,0.2976727350588571,0.2944497407635876,0.4078775241775553,291947,288786,400032,-0.0006567897364661463,,,-0.0024609276287838044,0.00023096866911864744,980765
2020-10-05,0.1,2.241906552669093e-05,0.2984833311944285,0.29727375523315913,0.4042429135724124,295380,294183,400040,0.009013271693824022,,,0.01176150553803379,0.01868926060079157,989603
2020-10-06,0.1,2.241906552669093e-05,0.3004259712658079,0.29700149638382295,0.40257253235036916,298542,295139,400048,0.0041711000817222016,,,0.010706756170835385,0.0032503679459991996,993729
2020-10-07,0.1,2.241906552669093e-05,0.30020931733100464,0.29071078930119504,0.4090798933678003,293587,284298,400056,-0.01588626944567342,,,-0.016596425731634667,-0.036731456098759385,977941
2020-10-08,0.1,2.241906552669093e-05,0.3012211890374517,0.2906984809599778,0.4080803300025705,295304,284988,400064,0.0024721260741842367,,,0.005850788840734422,0.002430228211421692,980356
2020-10-09,0.1,2.241906552669093e-05,0.3033354500890144,0.29403950449802196,0.4026250454129636,301412,292175,400072,0.013571546593916253,0.029221025688878927,0.46367734222095264,0.020683849671283117,0.02522195505868985,993659
2020-10-10,0.1,2.241906552669093e-05,0.30283558548536227,0.30153719882719987,0.39562721568743786,306244,304931,400080,0.017710670582002132,0.03317015582758981,0.5332580168876673,0.016033720811665653,0.04366096388182594,1011255
2020-10-11,0.1,2.241906552669093e-05,0.3057806104572067,0.3026388679548137,0.39158052158797957,312424,309214,400088,0.01035705702145586,0.034187446983198394,0.3022933523233889,0.02018299393243317,0.014048212496113432,1021726
2020-10-12,0.1,2.241906552669093e-05,0.3064851856573302,0.304172071555703,0.3893427427869668,314950,312573,400096,0.005769784719953907,0.03169715337607226,0.18132119267106875,0.008086882162986475,0.010865075290259485,1027619
2020-10-13,0.1,2.241906552669093e-05,0.30639726442486565,0.30993947367411673,0.38366326190101757,319527,323221,400104,0.014825964147422818,0.030539829949084538,0.48472912608145935,0.014534327180206974,0.03406847785113665,1042852
2020-10-14,0.1,2.241906552669093e-05,0.3057268075218117,0.307518911823442,0.3867542806547464,316286,318140,400112,-0.007970621927230945,0.03311431026441157,-0.24137724533395682,-0.010142627803337856,-0.015717745882021905,1034538
2020-10-15,0.1,2.241906552669093e-05,0.30638431317891585,0.3063426938179763,0.3872729930031079,316548,316505,400120,-0.0013181175657750093,0.03347265807930364,-0.04004870566674723,0.0008285319370324729,-0.005138196704733811,1033173
2020-10-16,0.1,2.241906552669093e-05,0.30800509907281665,0.3046976708620124,0.38729723006517097,318209,314792,400128,-4.079884795323875e-05,0.033764235855131414,-0.0018723336062208547,0.005247884046185147,-0.005410119219875664,1033129
2020-10-17,0.1,2.241906552669093e-05,0.3075022891683326,0.29979517709281017,0.39270253373885716,313323,305470,400136,-0.013742395771807003,0.03240556598957389,-0.4247669934776748,-0.015352607990090084,-0.029610981413961235,1018929
2020-10-18,0.1,2.241906552669093e-05,0.3077082573311725,0.3009333472867595,0.39135839538206796,314616,307689,400144,0.0034566860200026034,0.03236339665029055,0.10611577615247256,0.004127214574262794,0.0072674753737516085,1022449
2020-10-19,0.1,2.241906552669093e-05,0.307781886273444,0.30518686025064296,0.38703125347591305,318216,315533,400152,0.011203025076972297,0.03168595156269545,0.3528568801010468,0.011445360901036317,0.02549541019382784,1033901
2020-10-20,0.1,2.241906552669093e-05,0.31209819548338386,0.3039923095299085,0.3839094949867077,325309,316860,400160,0.008152868181341673,0.028366814093148153,0.2866183382144013,0.022290285125287745,0.0042060962251813105,1042329
2020-10-21,0.1,2.241906552669093e-05,0.3178362888856321,0.29632722167799264,0.3858364894363753,329642,307334,400168,-0.004972031562958998,0.028131900154747255,-0.17753691009182954,0.013321996494727761,-0.030061318115104596,1037144
2020-10-22,0.1,2.241906552669093e-05,0.32788418226198657,0.3019755870385803,0.3701402306994331,354491,326480,400176,0.04242896932217399,0.04980129255491276,0.8515150527446304,0.07538405794171199,0.0622977865710963,1081147
2020-10-23,0.1,2.241906552669093e-05,0.3248549224863803,0.31251110055928694,0.36263397695433275,358493,344871,400184,0.02072156169172993,0.05139074696064868,0.4027795634504621,0.011291848598347975,0.05633185489122017,1103548
2020-10-24,0.1,2.241906552669093e-05,0.32552577957282686,0.31043827093112103,0.3640359494960521,357857,341271,400192,-0.003829615074841192,0.05031412011715587,-0.07655970394391205,-0.0017737383629634618,-0.010436548799335754,1099320
2020-10-25,0.1,2.241906552669093e-05,0.32777173441656066,0.31065055076905285,0.3615777148143865,362783,343833,400200,0.006820105969871535,0.04961519795247233,0.13700815848515857,0.013766454799409189,0.007507478657652555,1106816
2020-10-26,0.1,2.241906552669093e-05,0.3277805968873393,0.30827417750205066,0.36394522561061005,360440,338990,400208,-0.006483822101943422,0.05103208210119207,-0.12749315527767055,-0.006457720124825483,-0.014084218424536998,1099638
2020-10-27,0.1,2.241906552669093e-05,0.3316563829611568,0.3011979003260329,0.3671457167128103,361530,328328,400216,-0.008696152425326365,0.049032010265110684,-0.17781386983141623,0.0030243550746853476,-0.03145134220235679,1090074
2020-10-28,0.1,2.241906552669093e-05,0.3389972941776838,0.3020583801119818,0.3589443257103344,377983,336796,400224,0.022870932286687535,0.051316204664308494,0.44524947568954704,0.04550973586801854,0.025794027205675585,1115003
2020-10-29,0.1,2.241906552669093e-05,0.336555976413255,0.29709156614595444,0.3663524574407906,367680,324566,400232,-0.02019965779855452,0.05876474706968906,-0.3441191849273148,-0.027256024451907557,-0.036310816642827315,1092478
2020-10-30,0.1,2.241906552669093e-05,0.339841969652547,0.2945929727552466,0.3655650575922064,372077,322536,400240,0.002176322814448331,0.058789364534510447,0.036637642981448774,0.011961089778988576,-0.006252169117188844,1094853
2020-10-31,0.1,2.241906552669093e-05,0.3423486965745396,0.29197406396665626,0.3656772394588041,374714,319577,400248,-0.0002850908329427189,0.0580811715828312,-0.005294485116073481,0.007089468597816229,-0.009173964357392372,1094539
2020-11-01,0.09,2.2419810036033994e-05,0.34556658324922124,0.2917795459940599,0.36265387075671884,381397,322033,400256,0.008359447115125453,0.04173996376200358,0.19973729140317847,0.017837058309573273,0.007688200134557732,1103686
2020-11-02,0.09,2.2419810036033994e-05,0.34224921327820573,0.2970447016585141,0.36070608506328017,379783,329621,400264,0.0054218461303437195,0.036670536168844386,0.1472415427864697,-0.0042294582916115875,0.023563251930002638,1109668
