time,3m_treasury,ust3_dreturn,btc_alloc%,eth_alloc%,ust3_alloc%,btc_alloc_usd,eth_alloc_usd,ust3_alloc_usd,portfolio_return,portfolio_volatility,daily_sharpe
2020-09-30,0.11,2.241832101712582e-05,0.3,0.3,0.4,300000,300000,400000,0.008890174998608913,0.4322699795104342,0.020514394008195835
2020-10-01,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,-0.0016912942408055076,0.4322356803930142,-0.003964765946147687
2020-10-02,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,-0.009311584374043568,0.4319155767130672,-0.021610712701318206
2020-10-03,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,-0.007740029167403806,0.4320215794049118,-0.017967732638779023
2020-10-04,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,-0.0006600200616888707,0.431953193795347,-0.0015798913794787012
2020-10-05,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.009144197467858283,0.431549267681427,0.021137281616395557
2020-10-06,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.004196104861261052,0.4313943022553185,0.009674874642327072
2020-10-07,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,-0.015989396922907538,0.4311570206190094,-0.03713685553686721
2020-10-08,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.0024932727418575107,0.43112057322270764,0.00573123583006193
2020-10-09,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.013780709045202564,0.43056965712486023,0.03195369146898832
2020-10-10,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.017917373034258156,0.4305374113239067,0.041564225310186886
2020-10-11,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.010278329554774656,0.43056629850123124,0.023819584869851668
2020-10-12,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.0056945548621844646,0.4305427790656589,0.01317438376034814
2020-10-13,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.014589809135613762,0.4307321949283902,0.0338200632356003
2020-10-14,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,-0.007749144479397251,0.43077211297214885,-0.018041008948567673
2020-10-15,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,-0.0012839318040997248,0.42930603795529765,-0.003042936167048371
2020-10-16,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,-3.970292589647877e-05,0.42900311615366304,-0.0001448054549816334
2020-10-17,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,-0.01348010919500472,0.42900434980133945,-0.0314741057212685
2020-10-18,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.0034273746106149973,0.42900660829450116,0.007936837053919921
2020-10-19,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.011091198954669921,0.42891551853089865,0.025806433693645537
2020-10-20,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.007957882031351391,0.42871423483361165,0.018509912480290127
2020-10-21,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,-0.005012828859902374,0.4279941108217745,-0.011764759836907767
2020-10-22,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.04131352098005317,0.42833165997848494,0.096399836324498
2020-10-23,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.020296078673081117,0.4287453327003224,0.04728601820541563
2020-10-24,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,-0.0036541185224790882,0.4283083128039901,-0.008583857651365035
2020-10-25,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.0063911476633291995,0.4268690425017945,0.014919630996140309
2020-10-26,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,-0.006153613938598067,0.4269344864777505,-0.014465997008294196
2020-10-27,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,-0.008519128512090756,0.42705092721601295,-0.020001238806108296
2020-10-28,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.021400096548318915,0.4266691414337153,0.05010364098738865
2020-10-29,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,-0.019061084702209786,0.4251866977457642,-0.04488264536240796
2020-10-30,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,0.0017216438247505959,0.4251739046474688,0.003996540569988203
2020-10-31,0.1,2.241906552669093e-05,0.3,0.3,0.4,300000,300000,400000,-0.0006163811016621668,0.42508832376843564,-0.001502746915101908
2020-11-01,0.09,2.2419810036033994e-05,0.3,0.3,0.4,300000,300000,400000,0.007666545457253715,0.42507827591627134,0.017982865933904753
2020-11-02,0.09,2.2419810036033994e-05,0.3,0.3,0.4,300000,300000,400000,0.005809106015531728,0.4244713751611126,0.013632688902282978
2020-11-03,0.09,2.2419810036033994e-05,0.3,0.3,0.4,300000,300000,400000,-0.011954718707947174,0.42420846471095547,-0.028234086573788942
2020-11-04,0.09,2.2419810036033994e-05,0.3,0.3,0.4,300000,300000,400000,0.012502900910890014,0.4232181018762635,0.029489478463997517
2020-11-05,0.09,2.2419810036033994e-05,0.3,0.3,0.4,300000,300000,400000,0.013330900211800856,0.42066891570598036,0.03163647206837257
2020-11-06,0.09,2.2419810036033994e-05,0.3,0.3,0.4,300000,300000,400000,0.0414907266095964,0.4225169858308686,0.09814589280479227
2020-11-07,0.09,2.2419810036033994e-05,0.3,0.3,0.4,300000,300000,400000,0.02784279551999118,0.42329641556971087,0.06572315447677947
2020-11-08,0.09,2.2419810036033994e-05,0.3,0.3,0.4,300000,300000,400000,-0.02676427315559097,0.42380873542847336,-0.0632046740106607
